fecha,precio_MD,demanda_prevision_D-1,demanda_Real,precio_Francia,precio_GAS,Temperatura,Radiacion,tipo_dia
2020-01-01 00:00:00,41.88,22733.0,18594.922,38.6,11.89,5.65,2.5531,F
2020-01-01 01:00:00,38.6,21593.0,17466.294,36.55,11.89,5.65,2.5531,F
2020-01-01 02:00:00,36.55,20362.0,16426.445,32.32,11.89,5.65,2.5531,F
2020-01-01 03:00:00,32.32,19604.0,15775.322,30.85,11.89,5.65,2.5531,F
2020-01-01 04:00:00,30.85,19386.0,15580.377,30.14,11.89,5.65,2.5531,F
2020-01-01 05:00:00,30.14,19687.0,15802.591,30.17,11.89,5.65,2.5531,F
2020-01-01 06:00:00,30.17,20111.0,16206.789,30.0,11.89,5.65,2.5531,F
2020-01-01 07:00:00,30.0,19716.0,16245.429,30.65,11.89,5.65,2.5531,F
2020-01-01 08:00:00,30.65,19594.0,17050.56,30.46,11.89,5.65,2.5531,F
2020-01-01 09:00:00,30.65,20643.0,18622.005,30.27,11.89,5.65,2.5531,F
2020-01-01 10:00:00,30.27,21842.0,19831.061,30.34,11.89,5.65,2.5531,F
2020-01-01 11:00:00,30.34,22711.0,20338.765,30.99,11.89,5.65,2.5531,F
2020-01-01 12:00:00,30.99,23450.0,20771.957,30.04,11.89,5.65,2.5531,F
2020-01-01 13:00:00,30.04,23742.0,20657.783,30.75,11.89,5.65,2.5531,F
2020-01-01 14:00:00,30.75,22653.0,19426.856,32.11,11.89,5.65,2.5531,F
2020-01-01 15:00:00,32.11,21971.0,18953.037,35.98,11.89,5.65,2.5531,F
2020-01-01 16:00:00,35.98,22389.0,19301.354,40.4,11.89,5.65,2.5531,F
2020-01-01 17:00:00,40.4,24940.0,21316.185,44.05,11.89,5.65,2.5531,F
2020-01-01 18:00:00,44.05,26233.0,22453.563,46.16,11.89,5.65,2.5531,F
2020-01-01 19:00:00,46.16,27485.0,23192.076,44.02,11.89,5.65,2.5531,F
2020-01-01 20:00:00,44.02,27861.0,23407.595,40.68,11.89,5.65,2.5531,F
2020-01-01 21:00:00,45.6,27067.0,22635.158,40.66,11.89,5.65,2.5531,F
2020-01-01 22:00:00,42.9,24647.0,20758.37,36.69,11.89,5.65,2.5531,F
2020-01-01 23:00:00,37.55,22321.0,18879.267,35.4,11.89,5.65,2.5531,F
2020-01-02 00:00:00,35.4,20429.0,17312.36,31.98,11.69,4.5,2.507,J
2020-01-02 01:00:00,31.98,19249.0,16397.63,30.5,11.69,4.5,2.507,J
2020-01-02 02:00:00,30.5,18824.0,15933.894,28.79,11.69,4.5,2.507,J
2020-01-02 03:00:00,28.79,18849.0,15939.851,28.42,11.69,4.5,2.507,J
2020-01-02 04:00:00,28.42,19724.0,16725.448,28.75,11.69,4.5,2.507,J
2020-01-02 05:00:00,28.75,22713.0,19325.725,34.16,11.69,4.5,2.507,J
2020-01-02 06:00:00,34.16,26685.0,22671.539,42.07,11.69,4.5,2.507,J
2020-01-02 07:00:00,42.07,30033.0,25619.587,44.89,11.69,4.5,2.507,J
2020-01-02 08:00:00,44.89,32451.0,28050.115,45.26,11.69,4.5,2.507,J
2020-01-02 09:00:00,45.26,33766.0,29330.281,45.57,11.69,4.5,2.507,J
2020-01-02 10:00:00,45.57,34142.0,29544.403,45.09,11.69,4.5,2.507,J
2020-01-02 11:00:00,45.09,33869.0,29292.768,45.16,11.69,4.5,2.507,J
2020-01-02 12:00:00,45.16,33923.0,29257.104,44.9,11.69,4.5,2.507,J
2020-01-02 13:00:00,44.9,33005.0,28421.626,44.06,11.69,4.5,2.507,J
2020-01-02 14:00:00,44.06,32103.0,27576.816,43.94,11.69,4.5,2.507,J
2020-01-02 15:00:00,43.94,31663.0,27272.147,44.37,11.69,4.5,2.507,J
2020-01-02 16:00:00,44.37,32017.0,27426.031,46.05,11.69,4.5,2.507,J
2020-01-02 17:00:00,46.05,33219.0,28712.603,46.72,11.69,4.5,2.507,J
2020-01-02 18:00:00,46.72,33569.0,29103.886,46.11,11.69,4.5,2.507,J
2020-01-02 19:00:00,46.11,33756.0,29170.829,43.7,11.69,4.5,2.507,J
2020-01-02 20:00:00,43.7,33326.0,28791.252,34.76,11.69,4.5,2.507,J
2020-01-02 21:00:00,42.0,31486.0,26766.68,33.02,11.69,4.5,2.507,J
2020-01-02 22:00:00,38.6,28504.0,24294.68,33.39,11.69,4.5,2.507,J
2020-01-02 23:00:00,33.39,26236.0,22436.928,32.05,11.69,4.5,2.507,J
2020-01-03 00:00:00,32.05,24105.0,20516.417,30.75,11.11,2.87,1.6529,V
2020-01-03 01:00:00,30.75,22911.0,19299.726,29.03,11.11,2.87,1.6529,V
2020-01-03 02:00:00,29.97,22324.0,18787.155,24.96,11.11,2.87,1.6529,V
2020-01-03 03:00:00,29.8,22276.0,18668.361,22.56,11.11,2.87,1.6529,V
2020-01-03 04:00:00,29.74,22863.0,19250.55,26.16,11.11,2.87,1.6529,V
2020-01-03 05:00:00,29.87,25141.0,21376.647,31.21,11.11,2.87,1.6529,V
2020-01-03 06:00:00,31.21,28619.0,24477.107,36.73,11.11,2.87,1.6529,V
2020-01-03 07:00:00,36.73,31436.0,27226.434,40.7,11.11,2.87,1.6529,V
2020-01-03 08:00:00,42.9,33725.0,29506.138,44.18,11.11,2.87,1.6529,V
2020-01-03 09:00:00,46.0,35125.0,30541.441,44.05,11.11,2.87,1.6529,V
2020-01-03 10:00:00,47.23,35100.0,30627.626,41.92,11.11,2.87,1.6529,V
2020-01-03 11:00:00,46.03,34621.0,30243.846,41.6,11.11,2.87,1.6529,V
2020-01-03 12:00:00,44.9,34422.0,30103.976,39.23,11.11,2.87,1.6529,V
2020-01-03 13:00:00,44.44,33248.0,29147.624,39.04,11.11,2.87,1.6529,V
2020-01-03 14:00:00,41.19,32312.0,28099.747,38.41,11.11,2.87,1.6529,V
2020-01-03 15:00:00,39.5,31922.0,27665.533,38.91,11.11,2.87,1.6529,V
2020-01-03 16:00:00,39.5,32113.0,27773.492,43.51,11.11,2.87,1.6529,V
2020-01-03 17:00:00,43.51,33288.0,28882.085,45.2,11.11,2.87,1.6529,V
2020-01-03 18:00:00,45.2,33800.0,29304.737,45.15,11.11,2.87,1.6529,V
2020-01-03 19:00:00,46.9,33859.0,29292.068,39.35,11.11,2.87,1.6529,V
2020-01-03 20:00:00,46.23,33441.0,28705.434,32.34,11.11,2.87,1.6529,V
2020-01-03 21:00:00,44.5,31601.0,26937.294,39.15,11.11,2.87,1.6529,V
2020-01-03 22:00:00,40.5,28930.0,24766.208,37.85,11.11,2.87,1.6529,V
2020-01-03 23:00:00,39.5,26348.0,23100.008,34.81,11.11,2.87,1.6529,V
2020-01-04 00:00:00,38.01,24136.0,21155.078,32.05,12.52,3.85,2.5817,S
2020-01-04 01:00:00,32.05,22685.0,19931.468,30.14,12.52,3.85,2.5817,S
2020-01-04 02:00:00,31.81,21822.0,19204.229,28.55,12.52,3.85,2.5817,S
