fecha,demanda_Real,tipo_dia,anio,hora,mes
2020-01-01 00:00:00+00:00,18594.922,Lunes-Viernes,2020,0,1
2020-01-01 01:00:00+00:00,17466.294,Lunes-Viernes,2020,1,1
2020-01-01 02:00:00+00:00,16426.445,Lunes-Viernes,2020,2,1
2020-01-01 03:00:00+00:00,15775.322,Lunes-Viernes,2020,3,1
2020-01-01 04:00:00+00:00,15580.377,Lunes-Viernes,2020,4,1
2020-01-01 05:00:00+00:00,15802.591,Lunes-Viernes,2020,5,1
2020-01-01 06:00:00+00:00,16206.789,Lunes-Viernes,2020,6,1
2020-01-01 07:00:00+00:00,16245.429,Lunes-Viernes,2020,7,1
2020-01-01 08:00:00+00:00,17050.56,Lunes-Viernes,2020,8,1
2020-01-01 09:00:00+00:00,18622.005,Lunes-Viernes,2020,9,1
2020-01-01 10:00:00+00:00,19831.061,Lunes-Viernes,2020,10,1
2020-01-01 11:00:00+00:00,20338.765,Lunes-Viernes,2020,11,1
2020-01-01 12:00:00+00:00,20771.957,Lunes-Viernes,2020,12,1
2020-01-01 13:00:00+00:00,20657.783,Lunes-Viernes,2020,13,1
2020-01-01 14:00:00+00:00,19426.856,Lunes-Viernes,2020,14,1
2020-01-01 15:00:00+00:00,18953.037,Lunes-Viernes,2020,15,1
2020-01-01 16:00:00+00:00,19301.354,Lunes-Viernes,2020,16,1
2020-01-01 17:00:00+00:00,21316.185,Lunes-Viernes,2020,17,1
2020-01-01 18:00:00+00:00,22453.563,Lunes-Viernes,2020,18,1
2020-01-01 19:00:00+00:00,23192.076,Lunes-Viernes,2020,19,1
2020-01-01 20:00:00+00:00,23407.595,Lunes-Viernes,2020,20,1
2020-01-01 21:00:00+00:00,22635.158,Lunes-Viernes,2020,21,1
2020-01-01 22:00:00+00:00,20758.37,Lunes-Viernes,2020,22,1
2020-01-01 23:00:00+00:00,18879.267,Lunes-Viernes,2020,23,1
2020-01-02 00:00:00+00:00,17312.36,Lunes-Viernes,2020,0,1
2020-01-02 01:00:00+00:00,16397.63,Lunes-Viernes,2020,1,1
2020-01-02 02:00:00+00:00,15933.894,Lunes-Viernes,2020,2,1
2020-01-02 03:00:00+00:00,15939.851,Lunes-Viernes,2020,3,1
2020-01-02 04:00:00+00:00,16725.448,Lunes-Viernes,2020,4,1
2020-01-02 05:00:00+00:00,19325.725,Lunes-Viernes,2020,5,1
2020-01-02 06:00:00+00:00,22671.539,Lunes-Viernes,2020,6,1
2020-01-02 07:00:00+00:00,25619.587,Lunes-Viernes,2020,7,1
2020-01-02 08:00:00+00:00,28050.115,Lunes-Viernes,2020,8,1
2020-01-02 09:00:00+00:00,29330.281,Lunes-Viernes,2020,9,1
2020-01-02 10:00:00+00:00,29544.403,Lunes-Viernes,2020,10,1
2020-01-02 11:00:00+00:00,29292.768,Lunes-Viernes,2020,11,1
2020-01-02 12:00:00+00:00,29257.104,Lunes-Viernes,2020,12,1
2020-01-02 13:00:00+00:00,28421.626,Lunes-Viernes,2020,13,1
2020-01-02 14:00:00+00:00,27576.816,Lunes-Viernes,2020,14,1
2020-01-02 15:00:00+00:00,27272.147,Lunes-Viernes,2020,15,1
2020-01-02 16:00:00+00:00,27426.031,Lunes-Viernes,2020,16,1
2020-01-02 17:00:00+00:00,28712.603,Lunes-Viernes,2020,17,1
