Fecha de negociación;Producto de MIBGAS;Precios de los productos MIBGAS (€/MWh)
2015-12-16;Producto diario D+1;19,67
2015-12-18;Producto diario D+1;19,4
2015-12-21;Producto intradiario WD;18,55
2015-12-29;Producto diario D+1;19,25
2016-01-05;Producto intradiario WD;19
2016-01-05;Producto diario D+1;19
2016-01-07;Producto intradiario WD;17
2016-01-07;Producto diario D+1;18,75
2016-01-11;Producto intradiario WD;18,5
2016-01-12;Producto diario D+1;18,5
2016-01-13;Producto intradiario WD;18
2016-01-14;Producto diario D+1;17,69
2016-01-15;Producto diario D+1;17,52
2016-01-16;Producto diario D+1;17,49
2016-01-17;Producto diario D+1;17,38
2016-01-18;Producto diario D+1;17,31
2016-01-19;Producto intradiario WD;17,7
2016-01-19;Producto diario D+1;17,69
2016-01-20;Producto intradiario WD;17,52
2016-01-20;Producto diario D+1;17,47
2016-01-21;Producto intradiario WD;17,51
2016-01-21;Producto diario D+1;16,94
2016-01-22;Producto intradiario WD;17,5
2016-01-22;Producto diario D+1;16,89
2016-01-23;Producto diario D+1;16,62
2016-01-24;Producto diario D+1;16,79
2016-01-25;Producto intradiario WD;17
2016-01-25;Producto diario D+1;16,76
2016-01-26;Producto intradiario WD;17
2016-01-26;Producto diario D+1;16,79
2016-01-27;Producto intradiario WD;17,03
2016-01-27;Producto diario D+1;16,98
2016-01-28;Producto diario D+1;16,98
2016-01-29;Producto diario D+1;16,97
2016-01-30;Producto diario D+1;16,83
2016-01-31;Producto diario D+1;16,93
2016-02-01;Producto diario D+1;16,93
2016-02-02;Producto intradiario WD;16,7
2016-02-02;Producto diario D+1;16,93
2016-02-03;Producto diario D+1;16,81
2016-02-04;Producto diario D+1;16,89
2016-02-05;Producto diario D+1;16,19
2016-02-06;Producto diario D+1;16
2016-02-07;Producto diario D+1;16,24
2016-02-08;Producto intradiario WD;16,65
2016-02-08;Producto diario D+1;16,54
2016-02-09;Producto diario D+1;16,73
2016-02-10;Producto diario D+1;16,6
2016-02-11;Producto intradiario WD;16,3
2016-02-11;Producto diario D+1;16,27
2016-02-12;Producto diario D+1;15,98
2016-02-13;Producto diario D+1;15,97
2016-02-14;Producto diario D+1;16,62
2016-02-15;Producto intradiario WD;16,11
2016-02-15;Producto diario D+1;16,11
2016-02-16;Producto intradiario WD;16,15
2016-02-16;Producto diario D+1;16,13
2016-02-17;Producto intradiario WD;16,36
2016-02-17;Producto diario D+1;16,34
2016-02-18;Producto intradiario WD;16
2016-02-18;Producto diario D+1;16,26
2016-02-19;Producto intradiario WD;16
2016-02-19;Producto diario D+1;16,04
2016-02-20;Producto intradiario WD;16,2
2016-02-20;Producto diario D+1;16,04
2016-02-21;Producto diario D+1;16,24
2016-02-22;Producto intradiario WD;16,35
2016-02-22;Producto diario D+1;16,29
2016-02-23;Producto intradiario WD;16,53
2016-02-23;Producto diario D+1;16,18
2016-02-24;Producto diario D+1;16,21
2016-02-25;Producto intradiario WD;16,2
2016-02-25;Producto diario D+1;16,18
2016-02-26;Producto diario D+1;16,18
2016-02-27;Producto diario D+1;16,04
2016-02-28;Producto diario D+1;16,2
2016-02-29;Producto intradiario WD;15,82
2016-02-29;Producto diario D+1;16,24
2016-03-01;Producto intradiario WD;15,99
2016-03-01;Producto diario D+1;16,21
2016-03-02;Producto diario D+1;16,1
2016-03-03;Producto diario D+1;15,89
2016-03-04;Producto intradiario WD;15,13
2016-03-04;Producto diario D+1;15,69
