fecha,Temperatura,Radiacion
2020-01-01,5.65,2.5531
2020-01-02,4.5,2.507
2020-01-03,2.87,1.6529
2020-01-04,3.85,2.5817
2020-01-05,4.6,2.7509
2020-01-06,4.96,2.5625
2020-01-07,4.5,2.6762
2020-01-08,6.54,2.6102
2020-01-09,5.08,2.58
2020-01-10,3.3,2.6782
2020-01-11,2.92,2.8579
2020-01-12,2.85,2.9172
2020-01-13,0.73,2.3446
2020-01-14,0.51,2.6407
2020-01-15,3.81,0.9718
2020-01-16,5.11,1.5134
2020-01-17,5.8,1.997
2020-01-18,4.71,1.1155
2020-01-19,3.7,1.74
2020-01-20,1.0,1.385
2020-01-21,2.98,1.1765
2020-01-22,4.13,1.6469
2020-01-23,3.46,1.9404
2020-01-24,4.85,1.1359
2020-01-25,5.87,1.2754
2020-01-26,4.06,2.3923
2020-01-27,3.86,1.4047
2020-01-28,8.0,1.3078
2020-01-29,8.42,1.8624
2020-01-30,7.68,1.519
2020-01-31,8.48,1.9843
2020-02-01,10.85,2.3906
2020-02-02,8.64,1.6474
2020-02-03,10.17,3.1303
2020-02-04,9.06,3.462
2020-02-05,5.5,3.6226
2020-02-06,5.97,3.0821
2020-02-07,6.87,3.1001
2020-02-08,6.47,1.5358
2020-02-09,5.77,1.6164
2020-02-10,8.22,2.6669
2020-02-11,8.45,2.0626
2020-02-12,8.67,1.8809
2020-02-13,9.05,1.9303
2020-02-14,8.01,2.9906
2020-02-15,8.46,3.9449
2020-02-16,8.21,3.8899
2020-02-17,6.88,1.5545
2020-02-18,6.64,3.035
2020-02-19,6.93,4.4054
2020-02-20,8.06,4.4731
2020-02-21,8.64,4.5552
2020-02-22,10.06,4.5931
2020-02-23,10.53,4.6243
2020-02-24,10.45,4.6687
2020-02-25,8.49,3.2052
2020-02-26,6.89,4.6085
2020-02-27,7.23,4.3634
2020-02-28,8.56,4.1045
2020-02-29,7.45,2.3609
2020-03-01,8.15,2.3074
2020-03-02,7.93,3.3094
2020-03-03,7.38,2.5591
2020-03-04,10.38,3.4481
2020-03-05,9.09,2.9789
2020-03-06,5.43,3.3866
2020-03-07,6.34,4.1374
2020-03-08,7.32,3.967
2020-03-09,8.43,4.8394
2020-03-10,11.35,4.7016
2020-03-11,15.07,5.1967
2020-03-12,15.88,4.1213
2020-03-13,14.11,4.8029
2020-03-14,12.96,5.4686
2020-03-15,11.41,4.249
2020-03-16,5.58,2.3218
2020-03-17,8.81,2.9239
2020-03-18,11.21,3.3031
2020-03-19,10.0,4.3502
2020-03-20,9.21,1.8029
2020-03-21,6.96,1.3661
2020-03-22,6.88,3.0485
2020-03-23,8.52,3.3394
2020-03-24,9.22,3.6674
2020-03-25,8.3,5.6069
2020-03-26,6.25,6.2837
2020-03-27,4.53,4.5991
2020-03-28,7.29,6.2688
2020-03-29,9.96,5.8171
2020-03-30,4.21,2.4581
2020-03-31,3.96,1.8394
2020-04-01,8.61,3.6797
2020-04-02,8.29,4.615
2020-04-03,8.46,6.8167
2020-04-04,9.62,6.3106
2020-04-05,11.71,4.9116
2020-04-06,11.77,3.3362
2020-04-07,12.67,3.4598
2020-04-08,14.04,5.4379
2020-04-09,12.24,2.6503
2020-04-10,11.84,2.3112
2020-04-11,12.4,4.1042
2020-04-12,12.33,6.3994
2020-04-13,11.5,4.5586
2020-04-14,11.43,3.4399
2020-04-15,10.88,3.3113
2020-04-16,11.47,3.0787
2020-04-17,11.95,4.3207
2020-04-18,12.87,4.7602
2020-04-19,10.97,3.983
2020-04-20,10.52,5.7166
2020-04-21,9.44,2.7166
2020-04-22,12.1,4.7386
2020-04-23,13.42,3.5928
2020-04-24,13.67,6.1694
2020-04-25,13.56,5.9117
2020-04-26,12.94,5.1917
2020-04-27,10.15,4.5182
2020-04-28,10.48,5.1938
2020-04-29,11.17,6.6523
2020-04-30,12.66,5.3758
2020-05-01,15.18,4.7539
2020-05-02,16.95,7.0006
2020-05-03,19.32,7.5281
2020-05-04,18.97,5.3472
2020-05-05,15.19,7.025
2020-05-06,16.01,7.5439
2020-05-07,16.44,4.9692
2020-05-08,17.87,7.373
2020-05-09,15.7,6.1241
2020-05-10,12.63,6.0278
2020-05-11,12.76,5.5279
2020-05-12,10.07,2.0714
2020-05-13,12.64,4.3531
2020-05-14,10.82,3.1721
2020-05-15,12.47,4.0807
2020-05-16,13.33,5.2798
2020-05-17,13.51,7.7712
2020-05-18,16.5,8.431
2020-05-19,17.99,8.3146
2020-05-20,19.67,8.4967
2020-05-21,21.02,8.2922
2020-05-22,22.28,8.1238
2020-05-23,22.68,7.8698
2020-05-24,20.41,7.3601
2020-05-25,20.54,6.4577
2020-05-26,18.78,5.7982
2020-05-27,20.4,8.107
2020-05-28,19.63,8.4007
2020-05-29,21.16,8.3635
2020-05-30,23.14,8.0654
2020-05-31,20.25,5.7617
